InputStoryid,DistortedSentenceIndex,Original_Sentence,Distorted_Sentence,Original_Story,Distorted_Story
f6aad64a-e34c-415d-b895-dbfa187ed43e,1,He had been working so hard this past month.,"He had been working so hard this last night.""",Bob was bored at his job as a school teacher. He had been working so hard this past month. He decided to treat himself with something special. He ordered tickets for a weekend snowboarding trip.,"Bob was bored at his job as a school teacher. He had been working so hard this last night."" He decided to treat himself with something special. He ordered tickets for a weekend snowboarding trip."
0fedd90d-5295-4b79-b2d0-15a2bad624ee,0,Olivia went out with Harry on a date.,Helen went out with Harry on a date.,Olivia went out with Harry on a date. Harry thought the date was going well. Olivia thinks he is a complete jerk and never wants to see him again. Harry keeps raving about their chemistry.,Helen went out with Harry on a date. Harry thought the date was going well. Olivia thinks he is a complete jerk and never wants to see him again. Harry keeps raving about their chemistry.
018152fd-f984-4d05-ad1e-12f1fb7eceb6,0,Jack and Ferris always fought for headphones.,Ferris always fought Jack for headphones.,Jack and Ferris always fought for headphones. One day Jack broke Ferris' headphones while jogging. Ferris was furious at Jack. Their parents yelled at them.,Ferris always fought Jack for headphones. One day Jack broke Ferris' headphones while jogging. Ferris was furious at Jack. Their parents yelled at them.
feef76df-b75a-4501-9c1a-f8a7b6ee442f,0,I needed someone to help me move a bed across the room.,"I needed someone who could help me move a bed across the room .""","I needed someone to help me move a bed across the room. I called a couple of friends, but they were busy. Finally, I called my grandson, who came right over. He helped me move the bed to the right spot.","I needed someone who could help me move a bed across the room ."" I called a couple of friends, but they were busy. Finally, I called my grandson, who came right over. He helped me move the bed to the right spot."
929eaf8b-a175-4460-a885-43be8a89ca62,0,Hannah had a beautiful cat that she loved very much.,Hannah had a beautiful dog that she loved very much.,"Hannah had a beautiful cat that she loved very much. However, she noticed that her cat was getting very old. One day, her cat ran away and never came back. Hannah was devastated.","Hannah had a beautiful dog that she loved very much. However, she noticed that her cat was getting very old. One day, her cat ran away and never came back. Hannah was devastated."
e65dec15-d9db-4369-a048-ca25046aea1a,0,Tony had a job interview!,Tony was fired from work!,Tony had a job interview! He got his suit ready! He forgot how to tie a tie! He quickly called his dad!,Tony was fired from work! He got his suit ready! He forgot how to tie a tie! He quickly called his dad!
bcce5b73-0c0a-4de9-9f0b-29b64d2055a5,1,He really missed home but he had to do his job.,He really liked home but he had to do his job.,"Jerry was in the army and deployed to a foreign country. He really missed home but he had to do his job. Finally, they gave him leave to visit his family. He got on the plane really excited.","Jerry was in the army and deployed to a foreign country. He really liked home but he had to do his job. Finally, they gave him leave to visit his family. He got on the plane really excited."
f07443b5-fece-45e3-8df4-92e5dd9898ca,2,"Finally, we made it to our favorite beach getaway!","""Before long, we were forced to give up on our favorite beach getaway!""","Today was the day we finally were leaving for vacation. We loaded our things and drove for six hours. Finally, we made it to our favorite beach getaway! We spent the next days playing in the waves and collecting seashells.","Today was the day we finally were leaving for vacation. We loaded our things and drove for six hours. ""Before long, we were forced to give up on our favorite beach getaway!"" We spent the next days playing in the waves and collecting seashells."
144f8b43-563a-44b1-b137-1b1e07e3752f,1,So I felt nervous while walking home one night.,"""So I felt calm while walking home one night.""",I had always been afraid of dogs. So I felt nervous while walking home one night. I saw what looked like a dog on someone's porch. And I started to run.,"I had always been afraid of dogs. ""So I felt calm while walking home one night."" I saw what looked like a dog on someone's porch. And I started to run."
2d45cd59-7c98-4fdf-b0a8-fa6abe745876,0,Ida really wanted hardwood floors in her living room.,""" Ida really hated hardwood floors in her living room "".","Ida really wanted hardwood floors in her living room. She worked overtime often to save up the money. Then she shopped for the flooring and had it installed. When she saw her new hardwood floors, she almost cried.",""" Ida really hated hardwood floors in her living room "". She worked overtime often to save up the money. Then she shopped for the flooring and had it installed. When she saw her new hardwood floors, she almost cried."
